region,nature,type,text_annonce,prix,modified_date,lien
El Menzah 9,Location,App. 2 pièc,Appart s1 haut standing,1 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390458
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 meublé à ennas,1 100,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386111
Cite Ennasr 2,Location,App. 3 pièc,Appart s2 meublé avec te,1 300,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3381951
Hedi Chaker,Vente,App. 3 pièc,Réf 96v appartement s2 aux la,240 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3370583
Cite Du Stade,Vente,App. 3 pièc,Réf 81v coquette appartement,480 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3348360
Hammamet,Vente,Duplex,Réf 74v une magnifique duplex,650 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3361332
Carthage,Location,Maisons,Villa s5 avec piscine a,8 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383199
Jardins de Cart,Location,Maisons,Villa aux jardins de car,6 500,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385083
Marsa Ennassim,Location,App. 3 pièc,Appart s2 meublé a la ma,2 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388779
Riadh Landlous,Location,App. 2 pièc,S1 et s0 avec grande ter,880,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385584
Jardins de Cart,Location,Duplex,Triplex au jardins de ca,4 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3231645
Berge Du Lac,Location,Maisons,Villa avec ascenseur  la,10 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3163147
El Mourouj,Vente,App. 3 pièc,Appartement saif,140 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3274168
Cite Du Stade,Location,App. 4 pièc,Appartement haut standin,3 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3163691
Gammart,Location,Maisons,Villa s4 vue sur mer à g,7 500,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3284668
Ain Zaghouan,Location,App. 3 pièc,Rez de jardin  a ain zag,1 350,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3343579
El Mourouj,Vente,Maisons,Villa mourouj 6,750 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3345474
Berge Du Lac,Location,Duplex,Duplex meublé lac 2,4 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3343578
Cite Ennasr 2,Location,App. 3 pièc,S2 manzeh 9c,1 150,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387812
Naassen,Vente,Surfaces,Ferme à naasseen,920 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3275206
Cite Ennasr 2,Location,App. 2 pièc,S2 à manzeh 9c,1 150,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387813
Bab Saadoun,Vente,Autre,6 appartements,580 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3378899
El Aouina,Location,App. 5 pièc,Propriétaire l s4 meublé,2 200,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3298286
Cite Ennasr 2,Location,App. 1 pièc,Particulier l s1meublé e,1 200,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3307891
La Mannouba,Terrain,Terrain nu,Terrain nu la manouba,2 557 500,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3367343
Hammam Sousse,Vente,Maisons,Maison pour famille,160 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3114284
Sidi Thabet,Vente,Maisons,Maisons sidi thabet,500 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3349559
